Feature	Importance
3028	0.179271154529833
3027	0.08135656897044731
3033	0.07992124903855578
3031	0.056277096394802786
3026	0.05580002197450367
3036	0.050214137199626
3032	0.046589690517294675
3029	0.04473198512018018
3025	0.0418494885566715
3039	0.03335016918513172
3034	0.024624356432358035
3030	0.02414773355245241
3038	0.02153889846391972
3037	0.01978799782045151
3040	0.014831474044550482
3035	0.014683551271813255
3043	0.012106365249454734
3024	0.009457744129256797
3055	0.007500000000000001
3067	0.006875000000000001
3060	0.00633300993571653
3023	0.006081558260303234
3057	0.005779108733169448
3061	0.005763675817128
3075	0.005717082418057268
3079	0.005625000000000001
3064	0.005625000000000001
3054	0.005600771821721307
3068	0.00529205675551409
3056	0.0050853049756452336
3041	0.005054319146158287
3042	0.004912132269009845
3066	0.004794881207000051
3062	0.004635226109168312
3059	0.004375000000000001
3073	0.0037500000000000003
3021	0.003741437658561859
3044	0.0033326587252140425
3065	0.0033293450587660706
3020	0.003300186229790916
3045	0.0032417296593495568
3063	0.0031250000000000006
3096	0.0031250000000000006
3081	0.0031250000000000006
3080	0.0031250000000000006
3078	0.0031250000000000006
3069	0.0031250000000000006
3100	0.002704118624683926
3071	0.0026637069024698598
3082	0.0026009089791454287
3022	0.0025000000000000005
3009	0.0024648481993862236
3017	0.002457585487184844
3018	0.0020979263992138464
3015	0.001962044586153735
3046	0.0019481176430954025
3058	0.0019126958464623358
3070	0.0018750000000000001
3077	0.0018750000000000001
3010	0.001856169374233183
3076	0.0015338683064010474
3092	0.001358593995820812
3090	0.0013461432207543397
3091	0.0013075040364624317
3072	0.0012708020155357228
3012	0.0012500000000000002
3019	0.0012500000000000002
3048	0.0012500000000000002
3098	0.0012500000000000002
3013	0.0010180650588104475
3014	0.0008722288913273183
3053	0.0007984801997790588
3049	0.0007408715624876821
3083	0.0007334244420336647
3016	0.0007161819429027018
3093	0.0007065754226919447
3005	0.000694824959964294
3095	0.0006933485491428027
3085	0.0006762785743891304
3006	0.0006250000000000001
3050	0.0006250000000000001
3088	0.0006250000000000001
3099	0.0006250000000000001
3097	0.0006250000000000001
3052	0.0006250000000000001
3074	0.0006250000000000001
3087	0.0006250000000000001
3007	0.0005142374477833785
3008	0.0002419034084642089
3001	0.00021982437310806593
3002	0.0001417241130365884
3004	0.00012527321483801187
3003	0.0001051342782773596
3011	0.00010408069505989247
3086	8.447286599082771e-05
3089	4.38691513319966e-05
3084	0.0
3094	0.0
3051	0.0
3047	0.0
